n,time
100,3.3727052E-6
115,3.0904815E-6
132,3.6590287E-6
152,3.5965163E-6
175,4.609945200000001E-6
202,6.5050885E-6
232,8.5509072E-6
268,9.2595619E-6
308,1.2725451600000001E-5
355,1.6027809300000002E-5
409,2.0283716300000002E-5
471,2.4704302400000002E-5
542,3.06842844E-5
625,4.1640348800000006E-5
719,5.46274581E-5
828,6.0090691500000004E-5
954,7.683047460000001E-5
1098,9.15317962E-5
1264,1.15424104E-4
1456,1.2264477460000001E-4
1676,1.402751909E-4
1930,1.676904662E-4
2222,1.978553071E-4
2559,2.4049038570000004E-4
2947,2.8632021680000005E-4
3393,3.466680261E-4
3906,4.1670432E-4
4498,4.969891602000001E-4
5179,5.924962838823529E-4
5963,7.14722277857143E-4
6866,8.752123510344828E-4
7906,0.00104492856375
9102,0.0012535041075000001
10481,0.0017992283832142858
